trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,strategy,_eval_error
2026-07-27 18:00:00,20260727,2026-07-27_18-00-00.json,300394,天孚通信,watch,watch,,25.58,0.628,-2.158,-2.158,2.743,10.0,0.274,20260728,198.11,181.56,160.1,180.5,-8.3539,-19.1863,-8.889,2.4582,-21.483,-21.483,24.0,0.0,26.0,55.0,76.0,18.25,54.0,65.0,54.42,50.0,-14.5,2.84,False,False,10.0,0.0,,,25.58,78.0,50.0,10.312,5.953,momentum,
2026-07-27 18:00:00,20260727,2026-07-27_18-00-00.json,688825,长鑫科技,consensus,,,,,,,,,,20260728,45.22,47.0,52.87,54.99,3.9363,16.9173,21.6055,34.0115,-0.0221,-0.0221,,,,,,,,,,,,,,,,,,,,,,,,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,688825,长鑫科技,watch,watch,,57.4,0.582,0.984,0.984,2.914,1.32,2.208,20260729,46.5,52.95,53.97,55.0,13.871,16.0645,18.2796,30.3226,-0.5161,-0.5161,50.0,50.0,47.0,48.0,70.0,47.0,62.0,65.0,52.58,65.0,,537.18,True,False,10.0,0.0,,,57.4,86.0,50.0,,,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,600664,哈药股份,watch,watch,,48.82,0.6556,-1.39,-1.39,3.377,10.0,0.338,20260729,5.47,5.36,5.89,6.45,-2.011,7.6782,17.9159,20.2925,-5.4845,-5.4845,100.0,100.0,72.0,48.0,64.0,57.0,62.0,68.0,53.72,70.0,31.1,1.77,True,False,10.0,0.0,,,48.82,44.0,50.0,9.283,5.406,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,300502,新易盛,watch,watch,,28.59,0.582,-2.259,-2.259,3.575,10.0,0.358,20260729,407.13,421.2,396.01,448.0,3.4559,-2.7313,10.0386,11.3109,-14.7692,-14.7692,54.0,11.82,26.0,77.0,76.0,18.0,62.0,65.0,52.58,70.0,-21.1,-17.13,True,False,10.0,0.0,,,28.59,86.0,50.0,11.562,6.821,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,300308,中际旭创,watch,watch,,25.75,0.6924,-1.539,-1.539,2.451,10.0,0.245,20260729,915.0,951.0,902.01,1021.99,3.9344,-1.4197,11.6929,12.9934,-13.3301,-13.3301,54.0,21.92,26.0,48.0,70.0,18.0,62.0,65.0,52.5,70.0,-17.4,-15.69,True,False,10.0,0.0,,,25.75,86.0,50.0,10.46,6.471,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,301526,国际复材,watch,watch,,23.42,0.628,-2.388,-2.388,2.376,10.0,0.238,20260729,28.89,30.2,31.99,29.98,4.5344,10.7304,3.7729,27.3797,-5.5036,-5.5036,84.0,64.87,26.0,48.0,65.72,18.0,62.0,68.0,52.62,70.0,-18.2,-6.39,True,False,10.0,0.0,,,23.42,78.0,50.0,15.122,8.951,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,300394,天孚通信,consensus,,,,,,,,,,20260729,182.5,182.09,171.01,212.0,-0.2247,-6.2959,16.1644,18.3562,-14.7671,-14.7671,24.0,0.0,22.0,,,,,,,,-23.9,-13.21,,,,,,,,,,,,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,000831,中国稀土,consensus,,,,,,,,,,20260729,46.46,48.03,47.82,49.16,3.3793,2.9272,5.8115,6.3065,-0.9901,-0.9901,24.0,26.8,50.0,,,,,,,,-4.2,-2.66,,,,,,,,,,,,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,600487,亨通光电,consensus,,,,,,,,,,20260729,50.01,49.75,47.61,50.27,-0.5199,-4.799,0.5199,2.4995,-8.8182,-8.8182,54.0,0.0,22.0,,,,,,,,-29.0,-9.97,,,,,,,,,,,,momentum,
