date,code,name,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,volume_ratio,opportunity_rank_score,rsi,ma20_deviation_pct,t3,t5
20260806,000423,东阿阿胶,6.325,0.014,79.25,1.05,,70.3,3.9,-0.04,-1.79
20260806,002606,大连电瓷,4.779,1.344,70.5,1.14,,65.0,4.8,1.6,-0.21
20260806,002258,利尔化学,6.304,-2.253,77.5,1.4,,60.5,1.6,0.57,-3.11
20260806,000582,北部湾港,7.959,1.417,79.0,1.25,,70.9,5.8,5.37,0.96
20260806,601000,唐山港,6.974,2.546,81.5,1.23,,64.8,3.0,-1.91,-4.03
20260806,301013,利和兴,11.654,9.004,74.75,1.56,,54.4,5.6,4.41,-1.98
20260806,301053,远信工业,0.495,7.701,75.0,1.24,,61.7,2.4,-1.44,0.35
20260806,300001,特锐德,4.482,2.256,69.25,0.86,,62.3,3.3,1.28,2.76
20260806,600885,宏发股份,11.123,2.543,74.25,1.06,,68.2,3.9,-0.17,2.77
20260806,000739,普洛药业,19.732,3.334,72.25,0.94,,59.2,5.4,5.86,7.8
20260806,603466,风语筑,9.526,0.347,77.25,1.13,,47.7,5.1,-0.7,20.14
20260806,600236,桂冠电力,9.716,2.601,65.75,0.85,,52.7,2.7,-2.56,-4.75
20260806,002458,益生股份,8.613,2.521,66.75,0.64,,57.5,3.6,17.15,11.58
20260806,688777,中控技术,18.277,4.467,69.38,1.35,,64.5,14.0,-4.74,-7.09
20260806,605198,安德利,16.118,7.09,74.0,1.01,,65.2,14.6,7.94,6.83
20260806,605098,行动教育,0.004,1.908,74.62,1.61,,61.2,2.0,2.64,-0.92
20260806,301365,矩阵股份,13.419,6.274,75.0,1.15,,57.7,7.3,0.88,-0.31
20260806,603373,安邦护卫,15.389,2.286,74.0,1.03,,66.6,11.2,7.66,8.79
20260806,603995,甬金股份,16.095,2.261,71.5,1.08,,64.8,10.9,5.87,7.88
20260806,001872,招商港口,5.168,0.815,65.25,0.58,,50.4,2.2,-1.36,-2.62
20260806,601677,明泰铝业,1.171,0.183,63.75,0.75,,67.5,4.7,0.65,-2.78
20260806,601339,百隆东方,7.258,2.919,65.75,0.88,,55.7,2.7,-3.56,-3.68
20260806,002938,鹏鼎控股,9.514,9.331,65.75,0.8,,50.0,2.7,1.81,0.81
20260806,002859,洁美科技,5.437,7.177,73.25,1.25,,55.1,5.6,18.73,9.2
20260806,603678,火炬电子,3.409,2.595,73.25,1.3,,52.2,4.4,3.53,3.83
20260806,605020,永和股份,11.889,3.453,62.38,0.78,,55.3,5.1,-0.43,-0.49
20260806,002747,埃斯顿,19.011,8.221,60.5,0.99,,42.2,1.5,3.2,-0.94
20260806,002167,东方锆业,12.98,2.331,71.0,1.01,,50.2,3.8,4.53,0.0
20260806,603980,吉华集团,10.875,-2.933,77.0,1.06,,60.9,8.0,0.89,5.95
20260806,603558,健盛集团,3.772,0.173,67.12,1.09,,76.6,4.9,-0.54,-7.24
20260806,600160,巨化股份,12.856,0.686,62.62,0.82,,64.6,8.0,-3.03,-5.1
20260806,002955,鸿合科技,20.326,4.073,61.0,0.67,,74.2,11.8,1.94,1.13
20260806,603311,金海高科,11.056,8.276,61.5,0.85,,66.5,11.4,-3.76,0.13
20260806,603110,东方材料,18.586,4.602,61.5,0.85,,68.9,14.6,5.0,4.6
20260806,601233,桐昆股份,11.682,0.898,69.5,0.92,,69.0,8.4,1.92,-3.28
20260806,600872,中炬高新,2.575,0.927,65.25,0.88,,60.0,1.4,0.1,-1.81
20260806,000703,恒逸石化,17.655,4.954,66.5,0.94,,68.5,12.8,1.74,-2.15
20260806,300561,汇金科技,12.842,7.301,69.75,0.87,,55.7,5.1,-5.11,-9.46
20260806,603317,天味食品,2.023,2.759,69.0,1.01,,61.6,1.3,1.68,3.01
20260806,002348,高乐股份,8.84,4.207,71.25,1.38,,62.0,14.8,0.17,5.55
20260806,603012,创力集团,2.867,0.433,72.88,1.01,,58.3,5.8,3.23,5.43
20260806,600971,恒源煤电,9.899,1.389,69.5,0.94,,67.2,6.7,2.8,1.1
20260806,000518,四环生物,18.474,5.575,62.0,0.7,,52.6,6.5,6.57,4.29
20260806,688131,皓元医药,4.882,2.171,61.88,0.69,,62.6,3.5,18.75,23.71
20260806,688710,益诺思,17.463,5.671,56.75,0.58,,65.2,2.3,21.57,23.32
20260806,000333,美的集团,9.559,3.171,59.75,0.92,,60.9,1.3,0.42,-1.25
20260806,002979,雷赛智能,16.173,8.515,65.38,0.97,,56.7,3.3,-0.08,0.76
20260806,603226,菲林格尔,4.877,4.298,61.88,0.74,,65.8,5.5,2.69,4.48
20260806,603127,昭衍新药,19.447,7.029,57.25,0.74,,47.1,0.5,10.82,12.34
20260806,301218,华是科技,16.556,2.45,76.25,1.25,,63.9,10.6,5.45,7.5
20260806,300878,维康药业,10.016,0.657,72.0,1.03,,59.9,11.9,-0.98,5.83
20260806,002142,宁波银行,3.712,1.015,60.0,1.0,,50.8,0.2,1.52,1.99
20260806,603990,麦迪科技,13.827,4.024,71.25,1.23,,65.5,12.9,16.35,7.02
20260806,300497,富祥股份,1.668,1.867,64.25,0.79,,56.1,5.9,2.42,0.22
20260806,600985,淮北矿业,15.123,2.39,74.0,1.05,,65.0,10.4,2.68,-0.79
20260807,300628,亿联网络,11.028,2.139,77.25,1.08,,57.4,3.6,-0.13,1.92
20260807,600546,山煤国际,5.802,1.438,77.0,1.2,,52.5,4.8,0.39,1.24
20260807,000582,北部湾港,7.959,1.417,79.0,1.2,,69.9,5.2,3.83,-9.57
20260807,002415,海康威视,12.929,3.253,69.25,0.98,,66.4,4.0,-1.86,-6.14
20260807,603519,立霸股份,16.559,4.499,68.25,0.96,,38.8,3.7,0.0,-2.31
20260807,600971,恒源煤电,8.641,1.322,72.25,0.98,,58.7,4.7,1.72,2.45
20260807,688507,索辰科技,13.432,8.877,67.5,1.31,,63.6,10.1,0.31,-2.57
20260807,688322,奥比中光-W,9.637,3.282,67.12,1.18,,65.1,12.5,0.46,-1.8
20260807,688777,中控技术,17.19,4.407,69.38,1.2,,61.2,13.0,-3.7,-7.58
20260807,002432,九安医疗,0.209,6.053,65.38,0.95,,50.1,4.3,-2.79,-0.77
20260807,603678,火炬电子,6.359,2.755,68.25,1.16,,62.1,8.6,-2.14,2.36
20260807,301218,华是科技,17.0,2.475,71.5,1.13,,60.5,10.8,6.07,7.4
20260807,301013,利和兴,12.073,9.028,70.5,1.46,,67.4,7.3,1.31,3.67
20260807,603373,安邦护卫,17.57,2.405,74.0,1.14,,63.1,12.6,6.69,6.56
20260807,688071,华依科技,7.992,-0.373,74.25,1.06,,69.4,5.0,4.33,-1.88
20260807,600985,淮北矿业,15.254,2.397,77.5,1.15,,57.2,9.6,-1.82,5.47
20260807,601699,潞安环能,7.918,0.962,79.75,1.21,,55.4,7.1,0.56,1.48
20260807,002199,东晶电子,16.476,8.482,72.75,1.67,,63.6,13.4,-5.57,-9.35
20260807,600936,北投科技,17.697,4.64,76.75,1.46,,70.2,9.1,10.36,-4.29
20260807,002371,北方华创,19.821,8.771,65.38,0.83,,59.0,4.1,1.06,-1.78
20260807,603261,立航科技,20.285,8.678,72.75,1.24,,63.6,4.1,4.53,12.45
20260807,300001,特锐德,4.454,2.254,63.88,0.82,,55.8,2.8,4.02,4.34
20260807,600885,宏发股份,10.71,2.521,66.75,0.89,,66.7,3.4,-1.67,2.72
20260807,002747,埃斯顿,20.039,8.28,65.75,1.0,,52.1,3.6,-2.23,-2.11
20260807,002167,东方锆业,13.979,2.385,70.5,1.09,,60.7,5.6,-1.02,-1.41
20260807,603466,风语筑,9.072,0.323,71.38,1.02,,43.9,4.7,9.39,10.26
20260807,000783,长江证券,13.696,3.596,66.25,0.78,,65.2,3.7,-1.99,-0.11
20260807,601958,金钼股份,10.429,-0.994,71.5,1.01,,70.3,12.4,-5.21,-7.18
20260807,300408,三环集团,21.444,11.09,61.5,0.97,,71.2,14.9,1.56,2.45
20260807,605098,行动教育,0.909,1.957,72.12,1.58,,62.4,2.6,-0.51,-5.4
20260807,301365,矩阵股份,13.53,6.28,69.25,1.0,,61.6,7.1,1.14,12.75
20260807,600160,巨化股份,11.519,0.614,64.5,0.83,,67.5,6.6,-4.19,-5.19
20260807,002955,鸿合科技,20.983,4.109,63.5,0.63,,73.7,11.9,3.04,1.1
20260807,601233,桐昆股份,12.63,0.948,69.5,0.99,,69.2,8.6,-0.98,-3.06
20260807,300497,富祥股份,5.889,2.094,64.0,0.81,,63.6,10.4,-3.88,-3.46
20260807,000703,恒逸石化,20.933,5.137,66.5,0.92,,68.7,14.7,-4.24,-6.31
20260807,300561,汇金科技,11.757,7.239,67.25,0.84,,46.2,3.6,-4.34,-11.42
20260807,601677,明泰铝业,0.944,0.171,63.75,0.72,,64.2,3.9,-0.18,-4.8
20260807,603558,健盛集团,1.632,0.06,70.88,1.09,,67.1,2.2,-1.98,-5.71
20260807,603387,基蛋生物,3.67,0.428,64.25,0.76,,57.1,5.2,2.49,1.84
20260807,002354,天娱数科,16.996,2.037,69.38,1.39,,70.6,14.5,5.57,0.74
20260807,600784,鲁银投资,4.455,0.151,66.75,0.91,,74.8,5.3,6.04,3.94
20260807,601339,百隆东方,6.386,2.871,65.25,0.93,,60.6,1.3,-1.71,-5.75
20260807,002979,雷赛智能,16.951,8.56,70.5,1.05,,63.0,4.5,-2.13,-1.1
20260807,605020,永和股份,11.5,3.431,66.75,0.84,,64.5,4.8,-0.49,-0.69
20260807,603989,艾华集团,1.968,7.296,71.75,1.21,,51.9,1.2,0.75,12.59
20260807,000429,粤高速Ａ,10.296,3.293,64.0,1.07,,52.8,3.1,-5.32,-4.53
20260807,600236,桂冠电力,8.108,2.514,53.75,0.82,,42.3,0.5,-1.86,-6.13
20260807,601918,新集能源,10.798,4.449,58.5,1.0,,42.0,1.3,1.44,1.95
20260807,002458,益生股份,9.411,2.564,59.25,0.61,,58.1,4.3,12.16,6.68
20260807,000725,京东方Ａ,12.658,6.304,62.0,0.85,,54.6,1.6,-2.47,-4.44
20260807,600188,兖矿能源,6.156,0.32,70.0,0.99,,55.1,6.9,4.05,4.52
20260807,001230,劲旅环境,9.645,0.019,63.5,0.76,,66.2,11.4,5.81,6.01
20260807,002350,北京科锐,11.46,2.294,61.5,0.85,,72.1,11.7,-7.35,-9.29
20260810,601001,晋控煤业,3.211,0.198,79.5,1.31,,47.4,5.5,-7.69,-7.91
20260810,601918,新集能源,13.592,4.516,79.75,1.04,,51.5,4.7,-2.83,-2.14
20260810,002371,北方华创,18.199,9.485,62.38,0.79,,52.1,5.2,-1.92,1.72
