group,date,code,name,T3,T5,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,relative_strength_20d_pct,weekly_trend_score,daily_entry_score,quantitative_score,macd
consensus,20260626,300308,中际旭创,-1.2776,-9.9274,,,,,,,,,
consensus,20260626,300502,新易盛,3.518,-5.3957,,,,,,,,,
buy_passed,20260629,688008,澜起科技,-9.2854,-9.4441,,,,,,,,,
watch,20260629,300502,新易盛,-9.98,-10.3532,,,,,,,,,
watch,20260629,603986,兆易创新,-14.221,-19.2235,,,,,,,,,
watch,20260629,300308,中际旭创,-6.5421,-10.1463,,,,,,,,,
buy_passed,20260630,002520,日发精机,12.5364,13.7026,52.8,3.8,1.28,17.517,14.727,100.0,82.0,,0.007
buy_passed,20260630,300243,瑞丰高材,-14.1998,-20.7678,58.3,8.1,1.31,17.26,14.47,100.0,82.0,,0.327
watch,20260630,300308,中际旭创,-11.6739,-11.207,,,,,,,,,
watch,20260630,300502,新易盛,-13.4868,-16.102,,,,,,,,,
watch,20260715,300502,新易盛,-3.7736,-4.0,42.8,1.0,0.99,1.275,3.27,100.0,50.0,,-6.226
watch,20260716,688072,拓荆科技,6.4085,3.4214,58.7,1.2,1.3,17.368,22.235,100.0,58.0,,-5.262
watch,20260716,002384,东山精密,-10.4686,-19.9062,52.4,6.8,1.25,4.624,9.348,100.0,82.0,,1.519
watch,20260720,000938,紫光股份,12.5995,10.0,66.4,16.4,1.34,35.138,44.256,100.0,82.0,,0.957
watch,20260721,300502,新易盛,-11.8481,-24.6481,46.9,1.9,1.11,-0.042,3.621,100.0,58.0,,-7.315
buy_passed,20260722,688072,拓荆科技,0.1037,-11.4034,55.2,6.9,0.94,32.509,34.27,100.0,50.0,,-21.754
watch,20260722,688432,有研硅,-7.7083,-16.7551,47.9,1.4,0.85,80.233,84.801,100.0,50.0,,-2.128
watch,20260727,688072,拓荆科技,-14.7987,-21.4529,52.0,4.2,0.93,22.741,24.309,100.0,50.0,,-12.524
watch,20260728,000938,紫光股份,-14.6109,-16.0059,64.3,12.5,1.07,43.728,51.96,100.0,82.0,,0.713
watch,20260803,000636,风华高科,16.5134,23.3507,41.5,2.9,1.6,-11.027,-4.856,84.0,82.0,,1.04
buy_passed,20260810,600183,生益科技,4.3741,,51.5,10.7,1.05,3.064,2.923,84.0,82.0,,6.326
consensus,20260812,002821,凯莱英,,,56.9,7.3,1.28,-10.6,-8.598,100.0,82.0,,2.15
watch,20260813,600183,生益科技,,,62.2,14.4,1.05,-6.036,-4.033,84.0,82.0,,8.339
watch,20260813,000831,中国稀土,,,70.5,9.5,1.61,22.415,24.417,100.0,82.0,,2.129
