date,code,name,ret_3d_pct,ret_5d_pct,ma20_deviation_pct,rsi,volume_ratio,opportunity_rank_score,short_score,sector_1d_return,sector_3d_return,sector_5d_return,sector_10d_return,sector_rank,t3,t5
20260622,000070,特发信息,16.983,33.333,22.1,71.3,1.21,77.3,76.25,,,,,,0.08,-17.7
20260622,603328,依顿电子,1.969,9.765,9.5,67.4,1.17,78.12,77.0,-0.25,6.057,6.057,6.057,71.0,-2.53,-14.46
20260622,603650,彤程新材,8.079,16.372,18.3,74.4,1.2,77.64,76.25,,,,,,5.65,27.82
20260622,002745,木林森,9.69,25.107,12.5,70.3,1.33,79.14,76.25,,,,,,8.76,1.55
20260622,300557,理工光科,9.059,16.838,15.4,74.1,1.33,77.6,76.25,,,,,,6.66,0.63
20260622,301238,瑞泰新材,4.531,19.818,10.7,55.6,1.23,79.42,76.75,,,,,,-8.19,-9.96
20260622,000519,中兵红箭,9.559,17.138,14.9,69.8,1.27,78.59,76.25,,,,,,-4.16,-13.11
20260622,300548,长芯博创,5.226,33.101,22.1,69.8,1.28,77.35,76.25,,,,,,-2.8,-12.71
20260622,301150,中一科技,13.741,34.49,29.0,74.4,2.1,79.54,77.75,2.19,0.802,0.802,0.802,15.0,15.5,3.55
20260622,688661,和林微纳,11.462,14.984,18.3,68.5,1.21,77.77,76.25,1.206,7.639,7.639,7.639,26.0,10.83,2.51
20260622,688416,恒烁股份,20.524,37.778,23.6,74.2,1.34,77.83,76.25,,,,,,18.16,9.84
20260622,300726,宏达电子,6.695,43.155,24.7,69.6,1.26,77.83,76.25,,,,,,8.11,0.02
20260622,002733,雄韬股份,-4.11,1.361,5.0,62.4,1.03,79.86,79.25,,,,,,-0.83,-8.86
20260622,605198,安德利,-4.494,15.659,19.9,66.4,2.14,79.5,77.75,,,,,,-7.5,-15.88
20260622,000691,亚太实业,4.126,16.449,21.3,69.6,1.61,79.44,77.75,,,,,,12.28,-0.6
20260622,688484,南芯科技,0.608,31.554,17.8,69.5,1.61,79.36,77.75,,,,,,1.36,-5.03
20260622,301092,争光股份,8.658,17.576,12.3,62.1,1.25,79.35,76.25,,,,,,-14.88,-25.12
20260622,301366,一博科技,13.512,21.173,13.8,65.4,1.21,79.32,76.25,-0.25,6.057,6.057,6.057,71.0,13.1,11.37
20260622,300852,四会富仕,0.235,14.297,10.4,67.3,1.23,79.29,76.25,-0.25,6.057,6.057,6.057,71.0,-0.17,3.99
20260622,300802,矩子科技,5.787,15.093,10.9,69.8,1.24,79.23,76.25,,,,,,-5.78,-17.8
20260622,002125,湘潭电化,-7.286,2.159,10.2,66.2,1.33,79.23,76.25,,,,,,-14.94,-25.56
20260622,603991,领先股份,19.619,11.84,20.4,67.7,1.53,79.1,77.75,1.206,7.639,7.639,7.639,26.0,-8.46,-6.29
20260622,003013,地铁设计,4.645,13.866,11.0,71.8,1.73,78.9,77.75,0.181,-1.663,-1.663,-1.663,56.0,-7.98,-8.59
20260622,600906,财达证券,8.206,12.59,14.6,69.8,1.76,78.86,77.75,,,,,,4.49,-2.51
20260622,301687,新广益,19.308,43.636,28.9,71.7,1.96,78.85,77.75,,,,,,9.34,-6.49
20260622,300502,新易盛,5.641,14.514,9.3,66.5,1.1,78.3,77.0,,,,,,6.17,-3.14
20260622,688700,东威科技,-1.741,18.584,8.4,62.4,1.06,78.24,77.0,,,,,,-1.21,-9.7
20260622,301218,华是科技,-2.883,13.982,8.6,60.3,1.08,78.21,77.0,,,,,,0.79,-1.56
20260622,002815,崇达技术,0.568,13.469,9.6,67.3,1.07,78.16,77.0,-0.25,6.057,6.057,6.057,71.0,-2.04,-16.79
20260622,002700,万憬能源,1.244,4.434,9.9,62.8,1.1,78.13,77.0,,,,,,-16.69,-27.17
20260622,688711,宏微科技,0.182,11.009,8.1,61.5,1.17,78.12,77.0,,,,,,10.55,17.94
20260622,301306,西测测试,19.075,23.992,21.5,74.6,1.61,78.04,75.25,,,,,,-2.01,-5.9
20260622,601137,博威合金,-6.368,1.188,6.5,68.7,1.08,78.01,77.0,,,,,,-8.08,-15.46
20260622,601233,桐昆股份,1.1,3.562,10.7,62.3,1.38,77.97,76.25,,,,,,4.62,-1.37
20260622,603929,亚翔集成,1.256,-1.999,14.2,73.4,1.23,77.94,73.75,,,,,,22.05,32.16
20260622,600458,时代新材,-5.251,5.867,14.7,77.7,1.52,77.92,72.5,,,,,,3.14,-2.52
20260622,688535,华海诚科,22.093,28.965,22.2,72.3,1.2,77.83,76.25,1.206,7.639,7.639,7.639,26.0,0.34,25.68
20260622,688720,艾森股份,13.41,23.914,17.3,71.3,1.23,77.83,76.25,1.206,7.639,7.639,7.639,26.0,4.01,13.21
20260622,300553,集智股份,13.391,24.271,18.9,74.8,1.23,77.83,76.25,,,,,,2.18,-24.32
20260622,300088,长信科技,17.934,39.276,26.4,75.0,1.29,77.81,76.25,,,,,,0.39,8.29
20260622,300679,电连技术,7.309,26.963,16.4,68.1,1.25,77.75,76.25,-0.155,1.885,1.885,1.885,66.0,-0.79,-16.83
