date,code,name,quantitative_score,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,long_score,extension_risk,forward_opportunity_score,opportunity_rank_score,room_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,t3,t5,turnover_pct,turnover_5d_avg_pct,turnover_20d_avg_pct,turnover_ratio_5_20,mom_3d_pct,mom_5d_pct,dist_20d_high_pct,dist_60d_high_pct,boll_pct_b,boll_above_pct
20260617,300263,隆华科技,79.63,69.5,26.8,1.91,20.858,62.402,19.194,54.807,44.058,8.186,77.75,79.6,45.0,71.2,79.63,55.0,41.28,68.44,0.0,-6.07,-4.8,0.17670000000000002,0.20373999999999998,0.10689499999999999,1.906,7.707,40.694,-2.635,-2.635,1.033,True
20260617,600206,有研新材,79.61,70.2,28.7,1.64,29.694,91.667,28.03,84.071,53.692,8.972,77.75,79.42,45.0,71.18,79.61,55.0,41.15,71.78,0.0,24.65,44.78,0.1979,0.1765,0.10787500000000001,1.636,20.612,23.418,-2.428,-2.428,1.121,True
20260617,2119,康强电子,79.61,70.8,25.3,1.53,37.806,48.146,36.143,40.551,41.45,7.5,77.75,79.42,45.0,71.18,79.61,55.0,39.44,63.75,-1.75,-1.07,3.06,0.22649999999999998,0.24629999999999996,0.161085,1.529,3.786,16.961,-3.351,-3.351,0.93,False
20260617,301536,星宸科技,79.59,69.8,25.0,1.63,17.661,46.532,15.998,38.936,37.877,6.694,77.75,79.33,45.0,71.16,79.59,55.0,30.61,58.95,-0.26,1.91,16.16,0.0748,0.09179999999999999,0.056369999999999996,1.629,20.958,28.425,-2.325,-2.325,1.055,True
20260723,301536,星宸科技,67.2,57.4,12.3,1.93,2.816,61.685,8.634,62.552,45.011,9.594,75.75,78.49,10.0,,,,27.69,73.11,-4.05,-7.3,-18.85,0.14550000000000002,0.1526,0.07888999999999999,1.934,23.254,26.394,-10.346,-10.346,0.86,False
20260724,301536,星宸科技,67.2,58.2,12.2,2.03,5.932,60.536,10.431,63.088,45.37,9.615,78.25,78.85,10.0,,,,27.0,72.8,-3.8,-4.67,-14.34,0.1477,0.1673,0.08248,2.028,7.874,43.495,-10.108,-10.108,0.846,False
20260727,301536,星宸科技,67.2,57.9,10.2,1.92,7.589,61.591,12.146,62.763,39.065,9.64,78.25,78.85,10.0,,,,24.29,69.72,-5.11,-16.7,-16.45,0.1375,0.16452,0.08563499999999999,1.921,-5.109,21.894,-11.335,-11.335,0.782,False
20260728,301536,星宸科技,69.0,51.8,1.2,1.68,-7.699,45.695,0.533,50.702,27.85,8.983,77.0,78.25,0.0,,,,12.97,54.57,-13.28,-5.78,-9.49,0.1176,0.15004,0.08907999999999999,1.684,-9.623,-2.766,-18.974,-18.974,0.533,False
20260729,301536,星宸科技,66.0,51.5,7.0,1.51,2.011,53.171,9.244,57.478,34.905,9.395,78.75,78.85,20.0,,,,18.93,63.1,-8.15,-15.56,-7.31,0.1632,0.1423,0.094415,1.507,-4.53,-8.153,-14.18,-14.18,0.697,False
20260807,301536,星宸科技,66.0,57.0,5.9,0.88,3.974,36.046,5.78,40.526,29.191,8.382,59.25,77.89,0.0,,,,12.63,55.59,-10.44,1.56,-0.16,0.0947,0.10582,0.11962500000000002,0.885,12.973,8.517,-16.314,-16.314,0.651,False
20260812,301536,星宸科技,68.0,45.9,5.5,0.72,16.195,32.945,18.198,36.283,27.272,11.016,69.25,78.85,0.0,,,,11.55,55.81,-9.19,2.51,,0.0672,0.08892,0.12394000000000002,0.717,1.394,8.655,-15.148,-15.148,0.643,False
20260813,301536,星宸科技,68.0,44.5,3.0,0.67,16.195,32.945,18.198,36.283,25.249,10.897,67.75,78.25,0.0,,,,8.82,52.53,-10.73,,,0.0837,0.08402,0.12532000000000001,0.67,0.576,2.773,-16.587,-16.587,0.58,False
20260617,688530,欧莱新材,79.57,62.1,22.2,1.79,16.266,123.213,14.603,115.617,57.674,21.999,77.75,79.12,45.0,71.13,79.57,55.0,35.82,132.0,-4.07,26.8,40.16,0.21660000000000001,0.27632,0.15415500000000001,1.792,13.497,15.122,-5.397,-5.397,0.981,False
20260618,688530,欧莱新材,79.63,66.2,23.3,1.63,33.152,136.916,29.838,128.714,61.234,22.235,77.75,79.6,45.0,71.2,79.63,55.0,37.02,135.71,-1.71,14.07,23.93,0.2096,0.2548,0.15628,1.63,12.283,-1.715,-4.354,-4.354,0.966,False
20260617,301323,新莱福,79.55,65.2,18.1,1.74,23.011,98.205,21.348,90.609,50.022,11.085,77.75,78.94,45.0,71.1,79.55,55.0,34.84,66.98,-5.28,-7.58,-15.45,0.0703,0.0982,0.056465,1.739,-0.677,26.015,-6.193,-6.193,0.891,False
20260618,301323,新莱福,79.55,70.1,16.2,1.68,28.369,104.171,25.055,95.969,49.508,11.054,77.75,78.94,45.0,71.1,79.55,55.0,32.89,65.8,-5.63,-12.49,-14.06,0.0574,0.09646000000000002,0.05745499999999999,1.679,-5.627,18.841,-6.541,-6.541,0.841,False
20260622,301323,新莱福,79.35,68.9,11.3,1.48,19.562,113.079,15.134,98.555,40.205,12.124,76.25,79.12,10.0,80.81,79.35,90.0,27.2,59.75,-8.78,-13.5,-20.13,0.0579,0.08688,0.05882999999999999,1.477,-8.359,-4.352,-9.665,-9.665,0.736,False
20260727,301323,新莱福,67.0,50.8,0.8,1.04,-5.357,14.329,-0.801,15.502,0.818,4.71,71.38,70.48,0.0,,,,-8.61,15.56,-30.74,-7.27,-10.97,0.026699999999999998,0.03686,0.0354,1.041,9.001,22.901,-10.81,-31.415,0.528,False
