code,date,entry_delta,entry_quality,crowding,crowding_mean,t3,t5,ret_5d_pct,sector_5d_return
301389,20260623,1.0,62.5,10.0,0.596,-1.54,-9.07,-2.221,0.882
301070,20260623,-5.0,47.5,10.0,,-1.77,1.38,16.416,
300488,20260623,1.0,62.5,10.0,,-0.48,17.63,3.308,
2137,20260623,1.0,62.5,10.0,,8.04,12.75,2.767,
3026,20260623,1.0,62.5,30.0,6.528,11.02,26.94,5.881,7.903
301468,20260623,1.0,62.5,10.0,,-4.36,-17.41,-0.807,
300145,20260623,-8.0,40.0,10.0,,-5.83,-3.71,22.93,
300557,20260623,-2.0,55.0,10.0,,-0.15,3.15,9.935,
301238,20260623,1.0,62.5,10.0,,-10.44,-2.36,6.996,
519,20260623,-2.0,55.0,10.0,,-5.12,-1.91,12.027,
301150,20260623,-3.0,52.5,10.0,-1.463,15.19,9.43,11.501,-1.559
300909,20260623,-2.0,55.0,10.0,,17.96,7.58,14.817,
688388,20260623,1.0,62.5,10.0,-1.463,-0.89,2.73,-7.203,-1.559
605198,20260623,1.0,62.5,10.0,,-11.36,-12.32,1.198,
301366,20260623,1.0,62.5,10.0,0.068,17.18,14.98,7.067,1.469
603991,20260623,0.0,60.0,30.0,6.528,-3.95,6.75,12.891,7.903
3013,20260623,1.0,62.5,10.0,-1.787,-4.56,-9.31,3.095,-1.854
601137,20260623,1.0,62.5,10.0,,-4.24,-7.15,-4.56,
601233,20260623,1.0,62.5,10.0,,4.91,-5.65,-2.141,
600458,20260623,1.0,62.5,10.0,,0.52,5.95,0.191,
688207,20260623,-2.0,55.0,10.0,,-4.0,0.5,11.432,
601636,20260623,-2.0,55.0,10.0,,17.5,34.61,9.358,
300321,20260623,-8.0,40.0,10.0,,19.28,33.29,18.876,
300821,20260623,-2.0,55.0,10.0,,8.04,10.24,8.03,
600961,20260623,-10.0,35.0,10.0,,5.67,-0.18,24.53,
2354,20260623,-2.0,55.0,10.0,,7.55,13.28,8.133,
2106,20260623,1.0,62.5,10.0,,10.16,23.55,7.605,
688448,20260623,1.0,62.5,10.0,,3.15,11.31,4.545,
688163,20260623,1.0,62.5,10.0,,-1.31,10.63,-3.654,
600497,20260623,-2.0,55.0,10.0,,15.15,11.2,8.696,
2171,20260623,1.0,62.5,10.0,,-3.0,-7.37,7.48,
688003,20260623,1.0,62.5,10.0,,15.24,14.68,3.637,
301349,20260623,1.0,62.5,10.0,,23.65,20.38,4.104,
301566,20260623,1.0,62.5,10.0,,0.03,-0.78,1.938,
600237,20260623,-2.0,55.0,10.0,,12.71,19.03,9.738,
301607,20260623,-2.0,55.0,10.0,,-7.32,14.58,14.624,
600500,20260623,1.0,62.5,10.0,1.631,13.63,-0.25,-2.427,1.521
300861,20260623,-9.0,37.5,10.0,,3.99,6.15,21.524,
301618,20260623,-2.0,55.0,10.0,,10.96,7.46,13.712,
301128,20260623,1.0,62.5,10.0,,0.17,0.43,-11.078,
603687,20260623,1.0,62.5,10.0,,4.5,12.72,-0.594,
301178,20260623,-2.0,55.0,10.0,,3.79,12.81,12.333,
603318,20260623,-7.0,42.5,10.0,,-19.84,-13.19,33.295,
2068,20260623,-7.0,42.5,10.0,,18.6,22.1,25.372,
2774,20260623,-6.0,45.0,10.0,-0.168,3.85,5.1,25.16,-0.396
688328,20260623,-2.0,55.0,10.0,,12.52,22.22,11.002,
301458,20260623,1.0,62.5,10.0,,10.37,1.9,2.519,
300265,20260623,-2.0,55.0,10.0,-1.47,-6.77,-11.96,9.168,-1.91
2631,20260623,-2.0,55.0,10.0,,8.92,24.34,13.367,
300005,20260623,-3.0,52.5,10.0,,20.45,17.28,9.806,
600063,20260623,1.0,62.5,10.0,,-2.96,-6.17,5.385,
301617,20260623,1.0,62.5,10.0,1.631,-1.19,1.48,5.988,1.521
688172,20260623,-2.0,55.0,10.0,,9.17,14.16,8.646,
2903,20260623,1.0,62.5,10.0,,-10.44,-10.06,2.184,
300665,20260623,-4.0,50.0,10.0,,-10.07,-14.82,15.521,
300560,20260623,1.0,62.5,10.0,0.759,-1.61,-4.42,7.239,0.453
688126,20260623,1.0,62.5,30.0,6.528,11.02,27.04,3.203,7.903
300825,20260623,1.0,62.5,10.0,,-5.03,-12.34,-0.795,
300592,20260623,-5.0,47.5,10.0,0.446,14.64,19.93,17.512,0.309
2645,20260623,1.0,62.5,10.0,,-11.47,-14.0,5.888,
2072,20260623,-2.0,55.0,10.0,,-11.24,-10.48,12.821,
300093,20260624,1.0,62.5,10.0,,10.68,9.78,2.714,
2203,20260624,1.0,62.5,10.0,,-10.74,-9.42,0.738,
688733,20260624,1.0,62.5,10.0,,-6.49,0.0,-2.528,
603335,20260624,1.0,62.5,10.0,,-3.86,8.06,-6.129,
601958,20260624,1.0,62.5,10.0,0.843,8.2,3.9,-5.267,0.815
688432,20260624,1.0,62.5,55.0,9.774,51.47,87.09,-5.912,12.005
600259,20260624,1.0,62.5,10.0,,-9.08,-6.94,-1.291,
831,20260624,1.0,62.5,10.0,,-5.88,-7.25,-4.414,
600459,20260624,1.0,62.5,10.0,,14.71,11.17,-6.854,
600392,20260624,-3.0,52.5,10.0,,-8.11,-6.78,8.945,
668,20260624,1.0,62.5,10.0,,4.57,0.0,-0.093,
300790,20260624,1.0,62.5,10.0,,-10.41,-9.31,5.545,
300700,20260624,1.0,62.5,10.0,,-10.22,-13.88,2.819,
969,20260624,1.0,62.5,10.0,,-7.84,-6.77,2.942,
688625,20260624,1.0,62.5,10.0,1.308,-11.0,-10.68,-0.196,0.957
605020,20260624,-2.0,55.0,10.0,,4.54,10.36,10.929,
603124,20260624,1.0,62.5,10.0,,-2.17,0.35,-9.113,
300488,20260624,1.0,62.5,10.0,,15.23,21.22,-11.066,
3026,20260624,-2.0,55.0,55.0,9.774,12.8,15.42,9.107,12.005
301468,20260624,1.0,62.5,10.0,,-14.99,-14.4,-0.381,
300145,20260624,1.0,62.5,10.0,,-9.57,-3.83,0.531,
300252,20260624,1.0,62.5,10.0,,-6.53,-4.38,-5.946,
2745,20260624,-2.0,55.0,10.0,,-2.95,2.13,13.264,
519,20260624,1.0,62.5,10.0,,-8.74,-5.3,5.735,
605198,20260624,1.0,62.5,10.0,,-10.78,-6.95,-11.189,
300802,20260624,1.0,62.5,10.0,,-16.84,-7.63,3.488,
603991,20260624,-2.0,55.0,55.0,9.774,-0.53,20.36,12.376,12.005
3013,20260624,1.0,62.5,10.0,-2.766,-10.24,-10.3,4.645,-3.37
301306,20260624,-2.0,55.0,10.0,,-0.87,4.69,13.901,
600458,20260624,1.0,62.5,10.0,,2.59,6.41,-12.175,
300321,20260624,-8.0,40.0,10.0,,8.34,29.3,20.148,
2106,20260624,1.0,62.5,10.0,,12.82,27.83,4.762,
688163,20260624,1.0,62.5,10.0,,6.49,8.9,3.34,
600497,20260624,-9.0,37.5,10.0,,5.87,1.08,20.159,
2171,20260624,1.0,62.5,10.0,,-11.76,-5.98,4.742,
600500,20260624,1.0,62.5,10.0,1.308,2.82,1.92,-13.355,0.957
301618,20260624,-2.0,55.0,10.0,,11.13,12.44,8.696,
603318,20260624,-2.0,55.0,10.0,,0.94,3.54,9.016,
2068,20260624,-8.0,40.0,10.0,,-1.84,4.29,33.73,
600063,20260624,1.0,62.5,10.0,,-3.61,2.36,-2.909,
300665,20260624,-3.0,52.5,10.0,,-1.51,-10.57,10.388,
300592,20260624,-9.0,37.5,10.0,0.232,15.12,20.82,23.358,-0.183
