group,date,code,name,T3,T5,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_trend_score,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,weinstein_stage_score,weinstein_close_vs_ma30_pct,daily_entry_score,quantitative_score,long_score,short_score,extension_risk,room_score,forward_opportunity_score,opportunity_rank_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,lt_ma50_slope_pct
missed,20260626,600259,中稀有色,-3.18,2.3,54.9,2.5,1.26,10.948,26.793,11.884,18.672,100.0,8.992,6.131,100.0,22.072,82.0,,77.89,80.5,0.0,100.0,85.96,81.91,4.06,33.62,-16.13,1.57
missed,20260626,002171,楚江新材,-1.13,-7.49,57.5,3.6,1.25,16.763,30.607,17.698,22.486,70.0,15.972,-0.139,100.0,13.644,82.0,,71.38,82.0,0.0,100.0,85.81,81.91,14.15,18.22,-13.51,3.4
missed,20260622,603979,金诚信,-15.77,-16.83,52.7,4.8,1.38,14.542,43.907,10.114,29.383,70.0,13.825,-1.437,100.0,9.52,82.0,,70.75,82.0,0.0,100.0,85.71,81.83,12.96,12.66,-13.68,2.67
missed,20260629,301160,翔楼新材,9.91,8.88,53.3,2.5,1.24,27.005,24.425,26.294,14.742,100.0,9.507,0.631,100.0,6.555,82.0,,75.97,80.5,0.0,100.0,85.67,81.67,9.63,8.33,-15.71,3.15
missed,20260629,000925,众合科技,8.86,-2.88,63.0,8.8,1.52,17.692,27.323,16.981,17.64,70.0,10.696,-0.018,100.0,8.613,82.0,,70.03,80.75,10.0,90.0,81.92,81.63,5.59,10.9,-22.4,2.22
missed,20260617,002203,海亮股份,6.35,4.82,58.5,12.0,1.7,12.202,75.647,10.539,68.051,100.0,34.011,9.252,100.0,46.558,82.0,,78.85,78.25,10.0,90.0,81.86,81.38,20.24,60.6,-6.45,4.88
missed,20260629,600078,澄星股份,-2.24,-6.94,54.5,4.4,1.27,14.857,18.534,14.146,8.851,100.0,6.611,3.206,100.0,13.703,82.0,,76.84,79.5,0.0,100.0,85.25,81.25,2.64,25.35,-13.31,1.5
missed,20260629,603005,晶方科技,-3.25,-13.05,58.4,8.3,1.31,19.323,82.52,18.611,72.836,100.0,38.242,10.273,100.0,47.404,82.0,,79.12,79.75,10.0,90.0,82.73,81.21,26.81,54.4,-6.39,5.83
missed,20260618,688719,爱科赛博,-5.79,-11.46,58.1,8.2,1.24,15.186,126.74,11.872,118.538,100.0,50.788,12.062,100.0,59.924,82.0,,79.12,79.75,10.0,90.0,82.73,81.21,25.95,73.93,-6.65,6.48
missed,20260626,002008,大族激光,-8.01,-13.57,69.3,14.2,1.61,11.244,141.414,12.18,133.293,100.0,55.504,21.381,100.0,91.636,82.0,,79.6,77.75,10.0,90.0,81.7,81.2,22.44,129.36,-1.0,6.38
